id;code;answer;created_by;last_modified_by
1;Gorgeous Granite Fish Markets quantifying;XSS;system;system
2;Intelligent Frozen Hat JSON Money Market Account;Harbor Berkshire;system;system
3;Isle of Man Optimization purple;maroon Pound Sterling;system;system
4;GB Lead pink;Designer Soap;system;system
5;Beauty open-source Lithuania;bluetooth bandwidth RAM;system;system
6;Computer invoice;dedicated Vista withdrawal;system;system
7;Cotton Louisiana Handmade;Finland East Caribbean Dollar RAM;system;system
8;solution-oriented;Wooden Generic;system;system
9;back-end Cloned;Metal;system;system
10;digital PNG;application Bike user-facing;system;system
