id;code;question;created_by;last_modified_by
1;Brand;Pataca Vista Cambridgeshire;system;system
2;incremental Accounts;complexity Glen;system;system
3;Plastic HDD Granite;Investment Account protocol Ergonomic;system;system
4;USB Surinam Dollar;monetize ubiquitous global;system;system
5;Yuan Renminbi Fish;Ergonomic Concrete Chips Fantastic Soft Shoes;system;system
6;Response pink;mission-critical utilize;system;system
7;Generic schemas calculate;Buckinghamshire;system;system
8;empowering Representative Checking Account;CSS index;system;system
9;web-readiness best-of-breed wireless;Credit Card Account;system;system
10;back up;CSS;system;system
