id;quiz_name;code;time_begin;time_end;duration;created_by;last_modified_by
1;back-end infrastructure emulation;secured line 4th generation Outdoors;2020-06-29T12:45:08;2020-06-29T07:25:51;20707;system;system
2;Practical Fresh Keyboard Senegal;product;2020-06-29T14:59:00;2020-06-29T17:22:12;86361;system;system
3;New Israeli Sheqel;ubiquitous;2020-06-29T13:03:05;2020-06-29T07:12:24;70365;system;system
4;Hollow Synchronised regional;Investor Regional SSL;2020-06-28T22:58:03;2020-06-29T00:10:52;61802;system;system
5;Metrics;matrix;2020-06-29T04:31:40;2020-06-29T05:33:27;71309;system;system
6;multi-byte;Small Granite Keyboard;2020-06-29T05:02:55;2020-06-29T07:35:44;17414;system;system
7;Customer;panel;2020-06-29T12:56:44;2020-06-29T05:05:57;20492;system;system
8;Rustic;product;2020-06-29T11:46:40;2020-06-29T03:29:59;46610;system;system
9;Turks and Caicos Islands Buckinghamshire;Gorgeous Plastic Chicken Sausages;2020-06-29T07:59:20;2020-06-29T02:05:02;96243;system;system
10;grey;networks monitor;2020-06-28T23:12:56;2020-06-29T11:21:58;81524;system;system
